iter	Passed	Remaining
0	153	153592
1	155	77754
2	158	52571
3	160	39895
4	162	32316
5	164	27245
6	166	23617
7	168	20906
8	170	18810
9	173	17127
10	175	15739
11	177	14599
12	179	13645
13	181	12814
14	184	12086
15	186	11452
16	188	10894
17	190	10395
18	192	9951
19	195	9555
20	197	9195
21	199	8866
22	201	8562
23	203	8282
24	205	8029
25	207	7778
26	208	7529
27	210	7300
28	211	7082
29	212	6886
30	214	6698
31	215	6526
32	217	6362
33	218	6209
34	219	6064
35	221	5923
36	222	5788
37	223	5659
38	224	5540
39	225	5423
40	227	5313
41	228	5209
42	229	5109
43	230	5013
44	232	4924
45	233	4836
46	234	4751
47	235	4670
48	236	4593
49	237	4518
50	238	4447
51	240	4377
52	241	4311
53	242	4247
54	243	4187
55	244	4129
56	246	4075
57	247	4019
58	248	3965
59	249	3913
60	250	3862
61	252	3814
62	253	3768
63	254	3725
64	255	3681
65	257	3638
66	258	3596
67	259	3556
68	260	3517
69	261	3479
70	263	3442
71	264	3406
72	265	3370
73	266	3336
74	267	3303
75	269	3270
76	270	3239
77	271	3207
78	272	3176
79	273	3147
80	274	3118
81	276	3090
82	276	3056
83	277	3029
84	278	3003
85	280	2977
86	281	2955
87	283	2933
88	284	2909
89	285	2886
90	286	2863
91	287	2841
92	289	2819
93	290	2797
94	291	2776
95	292	2755
96	293	2735
97	295	2715
98	296	2697
99	297	2678
100	298	2659
101	299	2640
102	301	2622
103	302	2605
104	303	2587
105	304	2569
106	305	2552
107	307	2535
108	308	2521
109	310	2511
110	311	2498
111	313	2485
112	315	2474
113	317	2463
114	318	2449
115	319	2434
116	320	2418
117	321	2404
118	322	2390
119	324	2377
120	325	2364
121	326	2350
122	327	2338
123	329	2325
124	330	2311
125	331	2298
126	332	2284
127	333	2271
128	334	2260
129	335	2248
130	337	2236
131	338	2225
132	339	2213
133	340	2202
134	341	2190
135	343	2179
136	344	2168
137	345	2157
138	346	2146
139	347	2135
140	348	2125
141	349	2112
142	350	2102
143	352	2093
144	353	2083
145	354	2074
146	355	2064
147	356	2054
148	358	2045
149	359	2036
150	360	2026
151	361	2017
152	362	2008
153	363	1999
154	365	1991
155	366	1982
156	367	1974
157	368	1965
158	369	1956
159	371	1948
160	371	1937
161	373	1929
162	374	1921
163	375	1913
164	376	1905
165	377	1897
166	379	1890
167	380	1882
168	381	1874
169	382	1867
170	383	1859
171	384	1852
172	386	1845
173	387	1838
174	388	1831
175	389	1824
176	390	1817
177	392	1811
178	393	1804
179	394	1797
180	395	1790
181	396	1783
182	398	1777
183	399	1770
184	400	1763
185	401	1757
186	402	1751
187	404	1745
188	405	1738
189	406	1732
190	407	1726
191	408	1720
192	409	1713
193	411	1707
194	412	1701
195	413	1695
196	414	1689
197	415	1683
198	416	1678
199	418	1673
200	419	1667
201	420	1661
202	421	1656
203	423	1650
204	424	1645
205	425	1639
206	426	1633
207	427	1628
208	428	1622
209	429	1617
210	431	1612
211	432	1608
212	434	1604
213	435	1598
214	436	1593
215	437	1588
216	438	1583
217	440	1578
218	441	1573
219	442	1568
220	443	1563
221	444	1558
222	445	1553
223	447	1548
224	448	1543
225	449	1539
226	450	1534
227	451	1529
228	452	1524
229	454	1520
230	455	1515
231	456	1510
232	457	1506
233	458	1502
234	460	1497
235	461	1493
236	462	1488
237	463	1483
238	464	1479
239	465	1475
240	466	1470
241	468	1466
242	469	1461
243	470	1457
244	471	1453
245	472	1449
246	474	1445
247	475	1440
248	476	1436
249	477	1432
250	478	1428
251	479	1424
252	481	1420
253	482	1416
254	483	1412
255	484	1408
256	485	1404
257	486	1400
258	488	1396
259	489	1392
260	490	1388
261	491	1384
262	492	1380
263	493	1376
264	495	1373
265	496	1369
266	497	1365
267	498	1361
268	499	1358
269	500	1354
270	502	1350
271	503	1346
272	504	1344
273	505	1340
274	507	1336
275	508	1333
276	509	1329
277	510	1325
278	511	1322
279	513	1319
280	514	1315
281	515	1311
282	516	1308
283	517	1304
284	518	1301
285	519	1297
286	521	1294
287	522	1291
288	523	1287
289	524	1284
290	525	1281
291	527	1277
292	528	1274
293	529	1271
294	530	1267
295	531	1264
